ДГг-1-1    ФГИ/ХОПП1  25 071002-1-2-3I           071002-1-2-3.pli.xml/1/1                          
ЗТуп-4-1   ФПТ     4  15 261201-4Z               261201-4.plz/4/1                                  
ЗТпп-4-1   ФПТ     4  17 261202-4Z               261202-4.plz/4/1                                  
ЗТпп-5-1   ФПТ     5  8  26120201-5-6Z           26120201-5-6.plz/5/1                              
ЗТпп-6-1   ФПТ     6  12 26120201-5-6Z           26120201-5-6.plz/6/1                              
ЗТпп-5-2   ФПТ     5  25 26120203-5-6Z           26120203-5-6.plz/5/1                              
ЗТпп-6-2   ФПТ     6  25 26120203-5-6Z           26120203-5-6.plz/6/1                              
ДТмоМ-1-1  ФПТ     5  10 151000-5-6M             151000-5-6.plm.xml/5/1                            
ДТмоМ-2-1  ФПТ     6  10 151000-5-6M             151000-5-6.plm.xml/6/1                            
ДТпупМ-2-1 ФПТ     6  4  2617001-6M              2617001-6.plm.xml/6/1                             
ДТпупМ-2-2 ФПТ     6  1  2617003-6M              2617003-6.plm.xml/6/1                             
ДТпупМ-1-1 ФПТ     5  5  2617004-5M              2617004-5.plm.xml/5/1                             
ДТпупМ-2-3 ФПТ     6  1  2617004-6M              2617004-6.plm.xml/6/1                             
ДТпупМ-1-2 ФПТ     5  5  2617005-5M              2617005-5.plm.xml/5/1                             
ДТпупМ-2-4 ФПТ     6  5  2617005-6M              2617005-6.plm.xml/6/1                             
ДРс-4-1    ФРиСО   4  27 030602-4-5I             030602-4-5.pli/4/1                                
ДРс-5-1    ФРиСО   5  22 030602-4-5I             030602-4-5.pli/5/1                                
ЗРс-4-1    ФРиСО   4  21 030602-4-5Z             030602-4-5.plz/4/1                                
ЗРс-5-1    ФРиСО   5  21 030602-4-5Z             030602-4-5.plz/5/1                                
ВРс-4-1    ФРиСО   4  16 030602-4-5-6-ВЕЧI       030602-4-5-6-веч.pli/4/1                          
ВРс-6-1    ФРиСО   6  19 030602-4-5-6-ВЕЧI       030602-4-5-6-веч.pli/6/1                          
ЗРрБ-1-1   ФРиСО   1  15 0316001-1-2-3Z          0316001-1-2-3.plz.xml/1/1                         
ЗРрБ-2-1   ФРиСО   2  13 0316001-1-2-3Z          0316001-1-2-3.plz.xml/2/1                         
ЗРрБ-3-1   ФРиСО   3  22 0316001-1-2-3Z          0316001-1-2-3.plz.xml/3/1                         
ДРр-4-1    ФРиСО   4  20 03240101-4-5I           03240101-4-5.pli/4/1                              
ДРр-4-2    ФРиСО   4  20 03240101-4-5I           03240101-4-5.pli/4/2                              
ДРр-5-1    ФРиСО   5  22 03240101-4-5I           03240101-4-5.pli/5/1                              
ДРр-5-2    ФРиСО   5  24 03240101-4-5I           03240101-4-5.pli/5/2                              
ЗРр-4-1    ФРиСО   4  20 03240101-4-5-6Z         03240101-4-5-6.plz/4/1                            
ЗРр-4-2    ФРиСО   4  19 03240101-4-5-6Z         03240101-4-5-6.plz/4/2                            
ЗРр-5-1    ФРиСО   5  14 03240101-4-5-6Z         03240101-4-5-6.plz/5/1                            
ЗРр-6-1    ФРиСО   6  15 03240101-4-5-6Z         03240101-4-5-6.plz/6/1                            
ДРр-4-3    ФРиСО   4  21 03240102-4-5I           03240102-4-5.pli/4/1                              
ДРр-5-3    ФРиСО   5  21 03240102-4-5I           03240102-4-5.pli/5/1                              
ЗРр-5-2    ФРиСО   5  14 03240102-5-6Z           03240102-5-6.plz/5/1                              
ЗРр-6-3    ФРиСО   6  35 03240102-5-6Z           03240102-5-6.plz/6/1                              
ВРр-6-3    ФРиСО   6  33 03240102-6-ВЕЧI         03240102-6-веч.pli/6/1                            
ДРр-4-4    ФРиСО   4  21 03240103-4-5I           03240103-4-5.pli/4/1                              
ДРр-5-4    ФРиСО   5  24 03240103-4-5I           03240103-4-5.pli/5/1                              
ЗРр-5-3    ФРиСО   5  14 03240103-5-6Z           03240103-5-6.plz/5/1                              
ЗРр-6-2    ФРиСО   6  13 03240103-5-6Z           03240103-5-6.plz/6/1                              
ВГг-3-1    ФГИ/ХОПП3  23 071002-3-ВЕЧI           071002-3-веч.pli.xml/3/1                          
ВГг-3-2    ФГИ/ХОПП3  25 071002-3-ВЕЧI           071002-3-веч.pli.xml/3/2                          
